Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,feeling,place,,,,von
139,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 월정리 해변,0.00028,0.000482,0.992,0
140,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 함덕 해수욕장,0.00361,0.0464,0.949,0
141,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 산굼부리,0.0000162,0.0000391,0.99,0
142,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 섭지코지,0.000108,0.00019,0.997,0
143,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 한라산국립공원,0.00351,0.0147,0.9817,0
144,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 비자림,0.0000267,0.000127,0.998,0
145,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 천지연폭포,0.000031,0.0000698,0.999,0
146,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 용머리해안,0.0000028,0.0000033,0.999,0
147,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 용두암,0.000128,0.000189,0.999,0
148,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 마라도,0.000027,0.0000432,0.999,0
149,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 우도,0.000001,0.00000138,0.999,0
150,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 가파도,0.00000534,0.00000745,0.998,0
151,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 제주돌문화공원,0.999,0.0000397,0.00004322,0
152,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 삼성혈,0.998,0.000045,0.0000664,0
153,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 추사관,0.15,0.84,0.00296,0
154,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 제주목관아,0.998,0.000036,0.000078,0
155,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 선운정사,0.989,0.0027,0.0075,0
156,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 김영갑갤러리두모악,0.785,0.153,0.0606,0
157,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 이중섭거리,0.941,0.055,0.00275,0
158,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 관덕정,0.999,0.000025,0.000037,0
159,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,neutral, 너븐숭이4.3기념관,0.999,0.000048,0.000029,0
